cards_id,card_name,hp,card_type,card_stage,attackInfo,damage,weakness,resistance,retreatCost,cardNumberInCollection,collection_name,release_date,totalCardsInCollection
58,Dragonite,90,Psychic,"Stage 2","Dragon Tail",100,Ice,Fire,3,015/100,"Team Rocket",2000-04-24,83
63,Togepi,60,Psychic,Basic,Charm,0,Steel,Dark,1,020/100,"Gym Heroes",2000-08-14,132
73,Hoothoot,40,Psychic,Basic,Peck,20,Electric,Grass,1,110/150,Jungle,1999-06-16,64
74,Noctowl,60,Psychic,"Stage 1","Wing Attack, Hypnosis","40,0",Electric,Grass,2,111/150,Jungle,1999-06-16,64
83,Sudowoodo,100,Psychic,"Stage 1","Rock Throw, Mimic","40,0",Grass,Electric,2,120/150,Jungle,1999-06-16,64
85,Espeon,90,Psychic,"Stage 2","Psychic Blast",70,Dark,Fighting,2,122/150,Jungle,1999-06-16,64
89,Misdreavus,50,Psychic,Basic,"Confuse Ray",30,Dark,Normal,1,126/150,Jungle,1999-06-16,64
93,Tyranitar,120,Psychic,"Stage 2","Crunch, Earthquake","50,80",Fighting,Psychic,4,130/150,Jungle,1999-06-16,64
94,Lugia,90,Psychic,"Stage 2",Aeroblast,80,Electric,Fighting,3,131/150,Jungle,1999-06-16,64
96,Celebi,60,Psychic,Basic,"Time Travel",40,Dark,Fighting,1,133/150,Jungle,1999-06-16,64
98,Delibird,70,Psychic,Basic,Present,30,Electric,Fighting,1,135/150,Jungle,1999-06-16,64
105,Swinub,60,Psychic,Basic,"Powder Snow",30,Fire,Grass,1,142/150,Jungle,1999-06-16,64
119,Blissey,90,Psychic,"Stage 2","Healing Egg",60,Fighting,Ghost,3,156/150,Jungle,1999-06-16,64
120,Miltank,80,Psychic,"Stage 1","Milk Drink, Tackle","0,40",Fighting,Ghost,2,157/150,Jungle,1999-06-16,64
